oid	name
31592	Bocanegra for Assembly 2016
31595	Build Jobs PAC
31596	Building Industry Association of the Bay Area PAC
31597	CA Association of Health Underwriters PAC
31598	CA Medical Association PAC
31599	California Academy of Eye Physicians & Surgeons PAC (MDEyePAC)
31600	California Academy of Family Physicians PAC
31601	California Apartment Association PAC (CAAPAC)
31602	California Assisted Living Association PAC
31603	California Association for Nurse Practitioners PAC
31604	California Association of Health Facilities PAC (CAHF)
31605	California Association of Nurse Anesthetist PAC
31606	California Beer & Beverage Distributors Community Affairs
31607	California Dental PAC (CALDPAC) Small Contributor Committee
31608	California Electrical Contractors PAC
31609	California Forestry Association PAC
31612	California Independent Petroleum Association PAC (CIPAC State PAC)
31613	California Nurses Association PAC Small Contributor Committee (CNA PAC)
31614	California Optometric PAC (Cal-OPAC)
31615	California Professional Firefighters PAC Small Contributor Committee
31616	California State Council of Laborers PAC Small Contributor Committee
31617	California Statewide Law Enforcement Association PAC
31618	CAPG Physician Group PAC
31619	Civic Property Group, Inc.
31620	Committee to Re-Elect Julie Pierce
31621	Contra Costa County Prosecutors' Association
31623	Aptos Optometric Center
31624	The Way, Inc.
31626	DeNova Homes, Inc.
31627	Dr. Harmesh Kumar for City Council 2012
31629	DeVry University
31630	Evan Low for Assembly 2016
31631	Faculty Association of California California Community Colleges (FACCC) PAC
31632	Faculty for Our University's Future, A Committee Sponsored by the California Faculty Association Small Contributor Committee
31633	Farm PAC
31636	First American Title Insurance Company
31637	Garaventa Enterprises, Inc.
31638	Golangco Global
31639	Grant D. Greven
31640	Heat & Frost Insulators and Allied Workers Local Union 16 PAC
31641	Holly J. Mitchell for Senate 2013
31642	Independent Insurance PAC (IIPAC)
31643	International Association of Firefighters Local 1230 PAC
31644	International Brotherhood of Electrical Workers Local 302 PAC (IBEW) Small Contributor Committee
31648	Jim Frazier for Assembly 2014
31649	Jim Wood for Assembly 2014
31650	Justmann Land Company LLC
31652	Liberty Mutual Insurance Company PAC
31653	Mary Jo Rossi dba Rossi Communications
31657	National Association of Insurance & Financial Advisors/ CA PAC
31659	Oak Tree
31660	Operating Engineers Local No. 3 Statewide PAC Small Contributor Committee
31661	Workforce Development Board of Contra Costa
31662	Pacific Association of Domestic Insurance Companies PAC (PADIC-PAC)
31663	Peace Officers Research Association of California PAC (PORAC PAC) Small Contributor Committee
31665	PepsiCo, Inc. and its Affiliated Entities
31666	Personal Insurance Federation of CA Agents & Employees PAC Small Contributor Committee
31667	Pharmacy Professionals of California Small Contributor Committee
31668	Phillips 66 Company
31669	Plumbing Industry Consumer Protection Fund United Association Local No. 159
31671	Precision Eyecare Centers
31672	Probation Peace Officers Association of Contra Costa County
31673	Professional Engineers in California Government (PECG-PAC)
31674	Prosperity PAC
31675	Public Employees Union Local #1 Political Education Committee
31676	Recology Inc. PAC
31677	Ronald G. Seger, O.D.
31680	Sheet Metal Workers International Association Local No. 104 PAC
31682	State Building & Construction Trades Council of California PAC Small Contributor Committee
31683	State Coalition of Probation Organizations PAC
31684	The Bowlby Group, Inc.
31686	The Hartford Advocates Fund
31687	The Plumbing, Piping and Mechanical Contractors PAC
31688	Dr. Robert M. Theaker OD
31689	Rehabilitation Services of Northern California (RSNC)
31690	Rehabilitation Services of Northern California
31691	Guida Surveying
31692	U.A. Local 342 PAC Fund
31693	United California Practitioners of Chinese Medicine PAC (AACMA PAC)
31694	United Faculty of Contra Costa Community College District PAC
31695	United Food and Commercial Workers Local 5 PAC
31696	United Professional Fire Fighters of Contra Costa County I.A.F.F. Local 1230 Candidate PAC
31697	Valero Energy Corporation PAC
31698	Monument Impact
31702	Western Growers PAC - California
31704	Roberto's Grill & Tequila Bar
31705	Los Tacos De Pancho
31706	Markstein Sales Company
31707	Comcast Financial Agency Corporation
31708	Yellow Cab Of South Bay Cooperative, Inc.
31709	Greg Conlon
31710	Law Office of Mark Watson
31711	Cognify Inc
31712	Pacific Oil
31713	Dunham and Beach LLC
31714	Classitech Inc.
31715	The Boeing Company PAC, Federal PAC
31716	CREPAC - California Real Estate PAC
31717	Stay Green, Inc
31718	Wells Fargo & Co Employee PAC
31719	Aristoddle  Inc. dba Old Firehouse School
31720	Avery Associates
31721	Lawrence Berkeley National Laboratory
31723	Bowser for School Board 2014
31724	BioPhotas  Inc.
31725	California Building Industry Association PAC
31726	California Teachers Association Association for Better Citizenship
31727	World Travel Marketing
31728	Frieda's  Inc.
31729	Third Plane Interactive
31730	Barbara Chavez  Realtor
31731	Discovery Counseling Center
31733	Caring Transitions
31734	Diablo Valley Democratic Club
31735	Michelangelo D'Onofrio Arts Foundation
31736	DUANE MORRIS LLP GOVERNMENT COMMITTEE
31738	Livermore Area Rec & Park District
31739	Galvan & Associates
31740	De La Salle High School
31741	First Republic Bank
31742	Tramultola Advisors
31743	Marsha Golangco  Consultant
31744	Frankel Goldware Ferber LLP
31745	Gordon & Keller Partnership
31746	INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 595 PAC
31747	Jack in the Box/Qdoba Mexican Grill
31748	Ventura Affordable Homes
31749	SSL
31750	Robert Kessler  Leadership Coach
31751	Las Positas College
31753	McBain Assoc.
31754	Stubbs and Leone
31755	Diablo Holdings  Ltd.
31756	The Produce Exchange Inc.
31758	MAN Ventures
31759	NORTHERN CALIFORNIA CARPENTERS REGIONAL COUNCIL SMALL CONTRIBUTOR COMMITTEE
31762	Enterprise Roofing Service
31763	AFCO Electronics
31765	Mill Valley School
31766	Paula Riley  Artist
31767	Sagehorn-Russell Ranch
31768	VSP
31770	The Law Offices of Patrick B. Strader
31771	Charter Properties
31773	Union of American Physicians and Dentists Medical Action Committee
31774	United Association No. 159 Consumer Protection Fund
31775	Law Office of Steve Weiner
31777	Wishnev Wine Management
31778	CSU East Bay
31779	Brookfield Norcal Builders Inc.
31780	Hall for Senate
31783	Calif. Land Title Assoc. PAC
31784	Multi-County Rental Housing PAC
31785	Law Offices of Adrienne D. Cohen
31786	Support Our Anaheim Resort Area PAC
31787	California Mortgage Association PAC
31789	California Cattlemen's Association PAC
31790	California Optometric PAC
31791	Clarey Capital
31792	Mike Morrell for Senate 2016
31793	Tom Berryhill for Senate 2014
31795	Pacific Hospitality Group
31796	Law Office of Raymond Schreck
31797	Anesthesia Service Medical Group Advocacy Fund
31798	Equity Wave Lending, Inc.
31800	American Council of Engineering Companies Calif. PAC
31801	Callahan & Blaine
31802	The Mayer Corporation
31803	21Strat
31804	VCS Environmental
31806	California Assn of Health Facilities PAC
31807	CMTA PAC
31808	Self - Dr. Douglas Harrington
31809	Law Offices of Manuel Klausner
31810	Wumbus Corporation
31811	Wholesome Choice
31812	Brown Wegner McNamara
31813	Corrections Corp. of America of Tennessee, LLC
31814	Diane Dixon for City Council 2014
31815	T.D. Service Fin'l
31816	EBS Investors
31817	Profit Recovery Partners
31818	Kinsman & Kinsman
31820	Orange County Food Bank
31821	Self - Jeannie Luong
31822	OFFICES OF LAURA A NOROSKI
31823	PACIFIC WATER QUALITY ASSOCIATION PAC
31824	Residence Mutual Insurance Company
31825	Western Mutual Insurance Company
31826	Whalen LLP
31827	Building Owners and Managers Assoc. of Calif. PAC
31828	Speedpro Imaging
31829	Shannon Grove for Senate 2018
31830	BB&T Insurance Services of California
31832	Anaheim Chamber of Commerce PAC
31833	Aqua Ben Corp
31834	Calif. Assoc. of Professional Liability Insurers PAC
31835	CL7 Communications, Inc.
31837	Water Board
31838	Hill Int'l
31839	West Coast Arborists
31840	Pacific Strategies Corp.
31843	Steiner Gov't Relations
31844	Stovall's Inn LLC
31845	Douglas S. Davert, Attorney at Law
31846	Johnson & Johnson
31847	Regal Court Reporting
31848	Olsen for Assembly 2014
31849	Brookfield Land Services LLC
31850	Hunt Ormann Palffy Nieves Darling & Mah, Inc
31851	Catholic Charities
31852	Calif. Dental Assoc. PAC
31853	Calif. Independent Petroleum Assoc. PAC
31854	Wilner & O'Reilly, APLC
31855	Craig Realty Group
31856	Association of California Life & Health Insurance Compa
31857	Brian Jones for Assembly 2014
31858	Calif. Assoc. of Winegrape Growers State PAC
31859	Communications Lab
31860	International Paper PAC
31861	HeartSmart Technologies
31862	Protect Access to Homecare PAC
31863	Rose Hills Holdings Corp.
31864	Steven Choi for Mayor
31866	First Team Real Estate
31867	Tomassian, Throckmorton & Inoue LLP
31868	Cox Communications and its Subsidiaries
31869	GS Biosciences
31870	Centaurus Financial
31871	Songstad, Randall
31872	World Affairs Council
31875	associated feed
31876	Assoiciation of California Insurance Companies PAC
31877	CorpGen Counsel
31878	CCPOA PAC
31879	Lenawee Trust
31880	Palace Entertainment
31881	Building Owners & Managers Assoc. OC PAC
31882	Curt Pringle & Assoc.
31884	Kinkle Rodiger & Spriggs
31885	Silva for Senate 2018
31886	3 Point Productions
31887	Delta Partners, LLC
31888	Calif. Healthcare Institute PAC
31889	ChiroMed
31890	Wilcox Manor
31891	EMP
31892	Griffin Structures Inc
31893	Arent Fox LLP
31894	Jones Planning Consultants
31895	Mark F. Wille, A Professional Accountancy Corp.
31896	Suspended Animation Inc
31897	Microsoft Corp
31898	Carl Olson Company
31899	Laer Pearce & Associates
31901	Brown and Streza
31902	Richland ARP
31903	Crossgrain Ministries
31904	Gibson, Dunn & Crutcher
31905	Steve de Graaf
31906	Ronald Blue & Co CPAs
31907	Straight Talk Productions
31908	Shorepoint Insurance Services
31909	Lawrence Thomas
31910	HMWC CPAs & Business Advisors
31911	Ware Malcomb
31912	Catherine Robinson
31913	Trider Corp dba Palacio Senior Apartments
31914	Swift CPA
31915	Employers Resource
31916	Spach Capaldi & Waggaman LLP
31917	Lake Insurance
31918	First American Financial Corp.
31919	Mike Ameel Properties
31920	A. Martin Morgenstern
31921	RSI CPA's
31922	RKW Development Corp
31923	Sarah Anderson
31924	Balboa Island Ferry, Inc
31925	USC
31926	US House of Representatives
31927	Manuel Padilla
31928	The Patterson Company, Inc
31929	H.B. City School District
31930	Hermano Pablo Ministries
31931	Chapman University
31933	AUHSD / Tarbell
31934	OC Signature Properties
31935	Microscale Industries, Inc
31936	William Barrington
31937	Bob Bell Real Estate
31939	Security Capital Financial Services
31940	Watson Land Co
31941	Janie Clairmont
31942	The Giacobbi Group
31943	Montage Systems
31944	West History Society
31945	Ronald Blue & Co., CPA's
31947	Psomas FMG, LLC
31948	Consumers Aircraft
31949	Waddell & Reed
31950	Max Swancutt DDS
31951	Wealth Management Corp
31952	Wigmore Insurance Agency, Inc
31953	William R. Mitchell, Inc
31954	Ganahl Lumber Co.
31955	Newport Resource Management, Inc
31956	J. Derek Lewis & Associates
31957	John Manly
31958	Fun Zone Entertainment
31959	Western States Chapter-ACPA Inc
31961	Ken Williams, MD
31962	Mulberry Street Mortgage
31963	Deborah Hart
31964	The Christane Co, Inc
31965	American Technologies, Inc
31966	Law Office of John R. Sommer
31967	Tuttle-Click Automotive Group
31968	Urban Crossroads, Inc
31969	Albert Rasch & Associates
31970	David E. Cohee, CPA
31971	Joyce Dekreek
31972	Lee & Associates
31973	Lemon Heights Holdings Inc
31974	Path Forward Planning Inc.
31975	Sichuan Swellfun Co, Ltd
31976	Richard J. Strayer Living Trust
31977	Memorial Care
31979	Theodore Cooper & Associates
31980	Clyde Kendzierski
31981	First American
31982	Lillestrand leadership Consultant
31983	UBS Financial Services, Inc
31984	Irene Ziebarth
31985	The Newport Beach Veterinary Hospital
31986	OCPR and eMedia Solutions
31987	Rockwell's Restaurant & Bakery
31988	ORCO Block & Hardscape
31989	Wesleyan Church Corp
31990	Dept of Ed
31991	Denbec Properties, LLC
31992	M. Scott Huddleston
31993	Henley Properties, Inc
31995	United Methodist Church
31996	GLP Engineering
31997	Bottomline Advisory Group
31998	Coast Warehouse Co
31999	County of Orange Treasurer-Tax Collector
32000	Butier Engineering Inc
32001	Hallmark Venture Group, Inc
32002	Linda Landau, CPA
32003	Self - Layton
32004	Capitol Public Affairs
32005	Self Employed
32006	Save The Bay
32007	Loh Realty and Investments
32009	Self - MacKinnon
32010	Orinda Woods
32011	Fairview Capital Investment Management
32012	JLT Realty
32013	Berkeley Pulmonary Critical CRE
32014	SAP
32016	La Piazza
32017	Self - Muelrath
32019	Rafanelli & Nahas
32020	Roisman Henel
32021	H&L Partners
32022	O&M Industries
32023	SPO Partners & Co
32024	City Of Pleasanton
32025	Otter Capital
32026	Rubicon Investments, Inc
32027	Self - Penner
32028	Madrone Capital Partners
32029	Latham & Watkins
32030	Bayview Builders, Inc.
32031	Farella Braun + Martel LLP
32032	Law Offices of James Redmond
32033	Logitech
32034	General Foundry Service
32035	Self - Schwarcz
32036	James R. Smith, Inc
32037	Smith LLP
32038	Abramson Smith Waldsmith
32039	Self - Sobel
32040	Zivko Corporation
32041	Kerney Venture Capital
32043	Coldwell Banker
32044	Town of Danville, CA
32045	Westwood Interests
32046	Managing Director
32047	Lamphier Gregory
32048	Ecmc Foundation
32049	Telischak & Co
32050	Englander, Knabe & Allen
32051	Tramutola LLC
32052	Bowles & Verna
32053	Self - Ulansey
32054	Unger Enterprises
32055	Palo Alto Foundation Medical Group
32056	Self - Ward
32057	Western Electrical Contractors Association, Inc. Good Government Political Action Committee
32058	Westly Group
32059	West Ed
32061	WS Realty Advisors, Inc.
32062	California State University Polytechnic Pomona
32064	Yackzan Group
32065	Prophet
32066	Bank Of San Francisco
32067	University of Virginia
32068	Hubbell Inc
32069	Athena Investment Management
32072	Associated Builders and Contractors of Northern California PAC
32073	Innerworkings
32074	Interwest Group
32076	Berkeley-Orinda Oral Surgery
32077	Eisner Amper
32078	Law Offices of Thomas Bloxham
32080	The Williams Companies, Inc.
32081	Californians for Putting Students First
32082	DC Strategies
32083	Self - Clark
32084	Redwood Pacific Public Affairs
32085	Cash And Carry Warehouse
32086	Cortese Investment Co.
32087	Sutter Hill Ventures
32089	Benda Tool And Modelworks
32090	Sheppard Mullin
32091	James De Lano, MD
32092	Hawk Hill Management Company
32093	EdVoice for the Kids PAC
32094	Orinda Optometry Group
32095	Englander Knabe & Allen
32096	Children's Hospital, Oakland
32097	Fadem & Associates
32098	City News Service, Inc.
32099	Law Offices of William Falik
32100	The Vanmark Group, Inc.
32101	Pisces, Inc
32102	Not Employed
32103	Manzanita Capital
32104	Kenson Ventures LLC
32105	Global Renewable Energy Engines
32106	Mackenzie Capital Management
32107	Gap Inc.
32108	Garner Financial Management
32110	Self - Gilbert
32113	Hall Equities
32114	Self - Hallsten
32115	Safe Shepard
32116	Self - Hayman
32117	Hilty Co, LLC
32118	Hoem & Associates
32119	Lamorinda Development & Investment
32121	Basic American, Inc.
32122	Self - Hummel
32123	North Point Advisors
32125	Fried & Williams LLP
32126	Self - Kirkorian
32127	Alves Ranch, LLC
32128	Perkins Coie
32129	California Landscape Contractors Association, Inc. (LANDPAC)
32130	CDF Firefighters Small Contributor PAC
32132	BH Development
32133	International Brotherhood of Boilermakers, Iron Ship Builders, Blacksmiths, Forgers & Helpers Local 549 PAC
32134	International Union of Painters and Allied Trades PAC (IUPAT)
32135	Natural Resources Defense Council (NRDC)
32136	Quadric Group, Inc.
32137	Schnitzer Steel Industries
32138	Sprinkler Fitters & Apprentices Local 483 Legislative PAC
32140	Axcess Financial Services, Inc.
32141	Bay Cities Paving & Grading, Inc.
32142	State Legislator
32143	California Apartment Association PAC
32144	California Association for Behavior Analysis PAC
32145	California Chiropractic Association PAC
32146	California Correctional Peace Officers Association PAC  (CCPOA)
32147	California Medical Association PAC (CALPAC)
32148	California Oncology PAC Aka Calcancer PAC
32149	California Teamsters Public Affairs Council Public Affairs Fund
32150	Chrisp Company
32151	Jacqueline M. Seeno
32152	Simpson, Garrity, Innes & Jacuzzi
32153	St. Francis Electric, LLC
32154	California Engineering Contractors, Inc.
32155	Talus Construction, Inc.
32156	The California Society of Certified Public Accountants PAC
32157	Three Springs Ranch/Bob Nunn
32158	Wendel Rosen
32159	Tri-West Tractor Incorporated
32160	Valero Federal PAC
32161	Marilyn Weiss
32162	Wells Fargo & Company Employee PAC
32163	Melinda Young
32164	Rocco's
32165	2500 Bates, A California Limited Partnership
32167	Amalgamated Transit Union Local 1555 PAC
32168	Amgen Inc. State Political Contributions Account
32170	Bauman Landscape Construction
32171	Andersen & Bonnifield
32172	Braddock & Logan Services, Inc.
32173	Cabriel Quinto for El Cerrito City Council 2014
32174	California State Council of Service Employees Small Contributor Committee
32175	CCA of Tennessee, LLC
32177	Mt. Diablo Recycling
32178	Condon-Johnson and Associates, Inc.
32179	Corrie Development
32180	D.W. Young Construction Company, Inc.
32182	Delahousaye & Associates
32183	DeSilva Gates Construction, LP
32184	Engineers & Scientists of California (ESC) Local 20 IFPTE Lou Lucivero Legislative Education & Action Program (LEAP) PAC
32185	Faculty Association of California, California Community Colleges
32187	FBD Vanguard Construction, Inc.
32188	Friends of Jimmy Gomez for Assembly 2014
32189	Black Diamond Brewing Company, Inc.
32190	Zandonella Reporting Service, Inc.
32191	Goodfellow Top Grade Construction, LLC
32192	McSherry & Hudson
32193	Cory Hodes
32194	Hofmann Land Developement Company
32195	Holden for Assembly 2014
32196	International Association of Firefighters, Local 55 PAC
32198	Johnson & Johnson Federal Corporate Political Fund
32199	Kevin Mullin for Assembly 2016
32201	Steve Langsford
32202	West Point Society
32203	Mashall B. Ketchum University
32204	Harris Salinas Rebar
32205	McGuire and Hester
32207	Mt. Diabo Recycling
32209	Gager McCoy
32210	Mt. Diablo Paper Stock
32211	O.C. Jones & Sons, Inc.
32212	Occupational Therapy Association of California PAC
32213	Ernst & Young LLP California PAC
32214	Andreni & Company
32217	Power Engineering Construction
32218	Rio Hondo Optometric Society Affiliate of American Optometric Association
32219	Rite Aid Headquarters Corp.
32220	California Healthcare Institute PAC
32221	Engineering & Utility Contractors Association PAC
32222	Western Manufactured Housing Communities Assn PAC
32223	Pacific Association of Domestic Insurance Companies PAC
32224	Gallegly for Congress
32225	California Hospital Association PAC sponsored by CAHHS
32227	California Beer & Beverage Distributors Community Affairs PAC
32228	Wine Institute California PAC
32229	Viper Enterprises, Inc.
32230	California Assn of Collectors PAC
32232	Personal Insurance Federation of CA PAC
32233	Associated General Contractors PAC of California
32234	California Association of Highway Patrolmen PAC
32235	Health Net, Inc. and its Affliated Entities
32237	Hinderliter, de Llamas & Associates
32239	Association for Los Angeles Deputy Sheriffs State PAC
32241	Blue Diamond Growers PAC
32242	BP North America Employee PAC
32243	Calfiornia Medical Association PAC  (CALPAC)
32244	California Association of Health Plans PAC
32245	California Chamber of Commerce PAC  *ChamberPAC)
32246	California Metals Coalition PAC
32247	California Water PAC
32248	El Dorado County Republican Assembly
32249	First American Financial Corporation and its subsidiaries
32250	Fresno Police Officers Assn PAC aka Fresno POA PAC
32251	Harbison International, Inc.
32252	Ingersoll Timber Enterprises, LLC
32254	McDonald's California Operators PAC
32255	Madera Medical Pharmacy
32257	Personal Insurance Federation of CA Agents & Employees PAC
32258	Panoche Creek Packing
32259	Monterey AgResources
32260	Wawona Frozen Foods
32262	Sumner Peck Ranch, Inc.
32263	Sxxociated General Contractors PAC
32264	Verizon Communications Inc. and its affiliates
32267	Capital One Services, LLC
32269	Abbott Laboratories Employee PAC
32270	ABBVIE PAC
32271	American Federation of State, County & Municipal Employees-CA People Small Contributor Committee
32272	American Federation of State, County, and Municipal Employees Local 2019 PAC (AFSCME)
32273	AMSURG
32274	Aristoddle, Inc. dba Old Firehouse School
32275	Association of California School Administrators PAC
32276	AT&T California Employee PAC
32277	Bill Quirk for Assembly 2016
32279	California Association of Marriage & Family Therapists PAC
32280	California Dental Hygienists' PAC
32281	California Machinists Non-Partisan Political League
32282	California Refuse Recycling Council North PAC
32283	California Resources Corporation
32284	California State University Employees Union PAC
32285	California Teachers Association/Association for Better Citizenship
32287	Chevron Policy Government & Public Affairs
32288	Concord Police Association PAC
32289	Consumer Attorney's PAC
32290	Dart Container
32291	ML Davis Consulting, LLC
32292	Deloitte Services LP
32293	Deputy Sheriffs Association of Alameda County PAC
32294	District Council of Iron Workers PAC
32295	J.R. Donnelly Consulting
32296	DRIVE Committee
32297	Edward Lifesciences, LLC
32298	Garcia for Assembly 2014
32299	Ghilotti Construction
32302	Hearing Healthcare Providers PAC
32303	IBEW PAC Educational Fund
32304	Jim Wood for Assembly 2016
32305	John A. Perez for Lieutenant Governor 2018
32307	Lorena Gonzalez for Assembly 2014
32308	Luxottica
32309	Napa Solano Counties Central Labor Council AFL-CIO Cope
32311	Pavley for Senate 2012
32313	Pharmaceutical Research and Manufacturers Association of America PAC
32314	Political Action for Classified Employees of California School Employees Small Contributor Committee
32316	Rendon for Assembly 2014
32317	Jeanne Marie Rosenmeier
32319	Sanofi US Services Inc. Employees' PAC
32321	SEIU United Long Term Care Workers State PAC
32322	Service Employees International Union Local 1021 Candidate PAC Small Contributor Committee
32323	Single Payer PAC
32324	HMS Associates
32325	Baker Donaldson Bearman
32326	Tenet Health
32327	Teresa M. Clark PAC, Sponsered by California Academy of Audiology (CAA)
32328	Toni Atkins for State Assembly 2014
32329	United Food and Commercial Workers Western States Council Candidate PAC (UFCW)-Small Contributor Committee
32330	United Nurses Association of California / Union of Health Care Professionals PAC (UNAC PAC) Small Contributor Committee
32331	Verizon Communications Inc. Good Government Club - California
32332	Melody Howe Weintraub
32333	Women in Power (WIP) PAC
32334	Yin McDonald's
32336	Urban Green
32337	BCH Technical Services, Llc
32338	Hilliard Architects, Inc
32339	Theravance, Inc.
32341	DLA Piper
32343	Dr. William Hummer, Dds
32344	Whiting And Whiting
32345	Elite Vein Specialists
32346	Independent Insurance Political Action Committee, Sponsored By Independent Agents And Brokers Of California
32347	Self - Jackson
32348	Ticonderoga Capital
32349	JP Morgan Chase & Co. PAC (FEC#C00128512)
32350	Luc Media Group
32351	Art Kapoor Realty Inc.
32352	The Karren Company
32353	Abbott & Kindermann, LLP
32355	Kaiser Permanente Medical Group
32356	Medical Anesthesia Consultants
32357	California Community Foundation
32358	Cho Kwan, CPA, Inc.
32359	San Ramon Valley Fire
32360	Transpak
32361	Self - Langley
32362	Lauder Partners, Llc
32365	Body Glove
32366	Best Ware LLC
32367	Parasol Solutions, Inc
32368	Local Societies Of The California Optometric Association PAC
32369	Self - Long
32370	Retired   U.S. Treasury Department Bureau Of Alcohol Tobacco & Firearms
32371	Omni Mortgage Co., Inc.
32372	Lucas Public Affairs
32374	Self - Lyons
32375	JLT Realty (North America)
32377	Mc Donalds California Operators Political Action Committee
32378	Microsoft Corporation Political Action Committee
32379	Breezy Print LLC
32380	Self  -Mohr
32381	Monsanto Corporation
32384	Walsworth Franklin, Et Al.
32386	Self - Nielson
32388	Self - Patel
32389	California Pension Reform
32394	Phillips Farms
32395	Emerson Collective
32396	Self - Prilutsky
32397	Reno Media Group
32398	Self - Leff
32399	Rakestraw Books
32400	Self - Ruzek
32401	Self - Sawczuk
32403	PRR Public Relations
32405	Pacific Auxilary Fire Alarm Company
32406	Village Associates Real Estate
32407	Category III Development Inc.
32408	Yoka & Smith
32409	Abramson, Smith Walfsmith, Llp
32410	Law Offices of Samuel A. Sperry
32411	Capital Guardian
32412	Reed Smith LLP
32413	Storm Ventures
32414	Self - Taylor
32415	Self Emplyed - Union Property Capital
32416	Telischak & Company
32417	Tenet
32418	Self - Thede
32419	Cantor Fitzgerald
32420	Self - Townsend
32421	Jim Townsend Blues Band
32422	FLG Partners
32423	Dean F. Unger, AIA, Inc.
32424	Schuering Zimmerman & Doyle
32426	Self - Volkmann
32427	Wal Mart Stores, Inc.
32429	Self - Wallace
32430	SZ Consulting
32431	William Bruce Waterman Attorney At Law
32432	Space Systems Loral
32433	Wente Family Estates
32434	Western Growers Political Action Committee   California
32435	Agemark Corporation
32438	Foothill Partners Inc.
32439	California College Of Arts
32440	American Viewpoint, Inc.
32441	Front Row Media, Inc.
32443	Suzanne Zulch Attorney At Law
32444	Alvarez & Marsal
32446	Churchill Corporate Suites
32449	SN Servicing Corporation
32450	The Arnold Foundation
32451	Azzani Search Consultants LLC
32452	Asbestos Management Group Of California, Inc.
32453	Ns. Baumsteiger Comsulting
32454	Hermitage Advisors Ltd.
32455	Beliveau Engineering Contractors, Inc.
32456	Berkeley Oral Surgery
32457	Paul S. Bleeg, CPA
32458	Morrison & Foerster
32459	Ziploop
32460	Fleenor Paper Company
32461	Clorox
32462	Moultrie Asset Management
32463	Sedgwick LLP
32464	Gagen, McCoy, et al
32465	Self - Burgelin
32466	California Academy Of Eye Physicians And Surgeons PAC
32467	California Association Of Health Facilities Political Action Committee
32468	California Association of Health Underwriters PAC
32469	California Citrus Mutual Political Action Committee
32470	California Defense Counsel Political Action Committee
32471	California Farm Bureau Federation Political Action Committee
32472	California Hotel & Lodging Association Political Action Committee
32473	Cambridge Healthcare Services
32474	Self - Cashman
32475	Merrill Lynch
32476	ChamberPAC Small Contributor Committee, Sponsored by California Chamber of Commerce
32477	Chevron Corporation
32479	Tom Clements Tutoring
32480	The Axiant Group
32481	Stein Mitchell
32482	Stanislaus Food Products Company
32484	Greenburg Glusker
32486	Keker & Van Nest
32487	DDN Enterprises Inc. DBA Rocco's Ristorante & Pizzeria
32488	California Western School Of Law
32489	Self - Deaver
32490	Creative Housing Associates
32491	The Dishnica Company, LLC
32492	Dorward And Associates
32493	Dow Agro Sciences LLC
32494	Self - Draper
32495	Eli Lilly & Company Political Action Committee (FEC #C00082792)
32497	Liberty Building Company
32498	Self - Felton
32500	Self - Fisfis
32502	Self - Flodr
32503	Calpex Plastics
32505	Shipware
32506	Sonen Capital
32507	Schiff Hardin
32508	Law Offices Of Scott W. Gordon
32509	Beach Buddies
32510	American Federation of State, County & Municipal Employees CA District Council 36 PAC
32511	Bricklayers and Allied Craftworker Local No. 3 PAC
32512	California Federation of Teachers COPE
32513	California State Employee Association
32514	Skinner for Aseembly 2012
32515	Democratic State Central Committee of California/California Democratic Party
32516	Service Employees International Union Local 521 Candidate PAC Small Contributor Committee
32517	Lasgoity Farms
32518	CA Refuse Recycling Council South PAC
32519	ChamberPAC Small Contribution Committee
32521	Newman Minerals, LLC dba Irish Hill
32522	CIPAC State PAC - CA Independent Petroleum Association PAC
32523	California Association of Winegrape Growers State PAC
32524	California Water Association PAC
32525	California Correctional Peace Officers Assn PAC  (CCPOA PAC)
32528	CALCOM PAC
32529	London Properties, Ltd.
32530	Rincon Band of Luiseno Mission Indians of the Rincon Reservation, California
32532	Tri-Cal, Inc.
32533	Duane Martin Livestock
32534	Santa Ynez Band of Mission Indians
32535	Donaghy Sales, Inc.
32536	Los Angeles Co. Professional Peace Officers Assn. PAC  (LACPPOA, SSC)
32538	FarmPAC - California Farm Bureau Fund to Protect the Family Farm
32539	Kevin Herman Ranch
32541	Pharmaceutical Reserach & Manufacturers Assn of America PAC
32543	American Legion Ambulance
32544	Beal Developments, LLC
32546	Spencer Enterprises, Inc.
32548	Allied Grape Growers State PAC
32550	J & M Britton Farming
32551	California Fresh Fruit Association PAC  (FruitPAC)
32552	Charles Spinetta Winery, LLC
32553	West Hills Oil, Inc.
32554	Las Montanas Supermarket
32555	International Association of Heat and Frost Insulators and Allied Workers Local 16, (AFL-CIO)PAC
32556	Alliance Partners
32560	Hall Equities Group
32561	Dillingham & Murphy, LLP
32562	Laconia Development
32563	Roseburg Resources Company
32564	Baron Equities
32565	J. Jay Schnack Law Corporation
32566	Aloha Pediatric Dentistry
32567	California Custom Carpets
32568	Newport Asia LLC
32569	Taylor Fresh Foods
32570	Taylor Farms Retail, Inc.
32571	Northwestern Mutual Life Insurance Company
32572	Granite Realty Advisors Inc
32573	Investek Properties, LLC c/o Hall Equities Group
32574	Warner Brothers Pictures
32575	Newmark Cornish & Carey
32576	Wild, Carey & Fife
32577	Colliers International
32578	City of Orinda, California
32580	Renne Sloan Holtzman Sakai Llp
32581	Ziegler Development
32582	Cornish & Carey
32583	Adobe
32584	Chemo Centryx
